problem_id,sentence_idx,sent_entropy_mean,sent_entropy_last
0,0,0.09133544564247131,0.2779432237148285
0,1,0.09658730775117874,0.08301486819982529
0,2,0.4220266044139862,7.408951205434278e-05
0,3,0.2842447757720947,0.21078985929489136
0,4,0.4094395637512207,0.0011536626843735576
0,5,0.342990905046463,1.0228370428085327
0,6,0.33773842453956604,3.0674534627905814e-06
0,7,0.2038583755493164,4.640140105038881e-05
0,8,0.5710537433624268,4.842611087951809e-05
0,9,0.15079228579998016,3.868508883897448e-06
0,10,0.5783475041389465,0.8214330077171326
0,11,0.28159549832344055,0.0467958003282547
0,12,0.34194856882095337,0.00012937055726069957
0,13,0.5100231170654297,0.527131974697113
0,14,0.3062228560447693,0.09021899849176407
0,15,0.5624650716781616,0.12050029635429382
0,16,0.22197647392749786,9.677647767603048e-07
0,17,0.3157894015312195,0.3980936110019684
0,18,0.2785845398902893,0.7544234991073608
0,19,0.5936488509178162,0.7741312384605408
0,20,0.4239269196987152,4.337534846854396e-07
0,21,0.37423691153526306,7.209087016235571e-06
0,22,0.8726539015769958,0.9747423529624939
0,23,0.33431974053382874,0.15937548875808716
0,24,0.48231041431427,1.372720718383789
0,25,0.9529933929443359,0.5430684089660645
0,26,0.5349107980728149,1.1324832439422607
0,27,0.4157477021217346,6.759121333743678e-07
0,28,0.43418532609939575,0.5478906631469727
0,29,0.7098940014839172,7.573042967123911e-05
0,30,0.611240804195404,0.2587531507015228
0,31,0.8948667645454407,0.0074190120212733746
0,32,0.5993318557739258,0.10291816294193268
0,33,0.07129080593585968,1.5183996765699703e-05
0,34,0.21079207956790924,0.01562931388616562
0,35,0.05645813047885895,0.0004007419338449836
0,36,0.017966175451874733,0.00012758007505908608
0,37,0.09700581431388855,0.4750547707080841
0,38,0.17982718348503113,0.5965152382850647
0,39,0.04669806361198425,0.0002625611377879977
1,0,0.060573477298021317,0.9551401734352112
1,1,0.5170325040817261,0.0011629608925431967
1,2,0.24542194604873657,1.2165815830230713
1,3,0.48340266942977905,1.1053372621536255
1,4,0.18062156438827515,1.7395732402801514
1,5,0.5240889191627502,0.38172927498817444
1,6,0.2635573446750641,0.564977765083313
1,7,0.20851345360279083,1.2895699739456177
1,8,0.2360372692346573,0.9388781785964966
1,9,0.09885501116514206,0.850042462348938
1,10,0.24089600145816803,0.7041599750518799
1,11,0.10970308631658554,1.6336305141448975
1,12,0.07295543700456619,1.6396857500076294
1,13,1.2696654796600342,0.6946972012519836
1,14,0.4856579005718231,0.27769896388053894
1,15,0.3444949984550476,0.0007608584128320217
1,16,0.28441616892814636,0.00013790474622510374
1,17,0.23509860038757324,0.023815080523490906
2,0,0.12970462441444397,0.4191133975982666
2,1,0.4809005856513977,0.003267360385507345
2,2,0.518180251121521,0.1923871487379074
2,3,0.6654096245765686,0.6709787845611572
2,4,0.3101460039615631,0.9087655544281006
2,5,0.25726887583732605,0.059715624898672104
2,6,0.210672065615654,0.0004057766345795244
2,7,0.1510477066040039,0.02592136338353157
2,8,0.30458521842956543,1.658250093460083
2,9,0.3614075183868408,1.3330780267715454
2,10,0.2555871307849884,0.6031153202056885
2,11,0.5268645882606506,1.462523341178894
2,12,0.1239573135972023,0.0002228553785244003
2,13,0.15549874305725098,0.0006394889787770808
2,14,0.03357607498764992,0.24314036965370178
2,15,0.18066143989562988,1.7039752006530762
2,16,0.34869885444641113,1.9208756685256958
2,17,0.26407212018966675,1.2891358137130737
2,18,0.0969134271144867,0.00183568533975631
2,19,0.07477004826068878,0.0001165710564237088
2,20,0.023654967546463013,0.26348403096199036
2,21,0.2431701272726059,2.428917407989502
2,22,0.31779512763023376,0.9681956768035889
2,23,0.1494578868150711,0.5932766199111938
2,24,0.5833861827850342,0.5753952264785767
2,25,0.20608359575271606,0.5874873399734497
2,26,0.34186869859695435,0.30538851022720337
2,27,0.2697116732597351,0.5656164884567261
2,28,0.13142898678779602,0.7563427686691284
2,29,0.6401559114456177,0.8511279225349426
2,30,0.9719319343566895,1.8532276153564453
2,31,0.4025556147098541,1.6683764457702637
2,32,0.6126869320869446,0.8967239260673523
2,33,0.24943886697292328,0.7271713018417358
2,34,0.18531973659992218,0.23788641393184662
2,35,0.041012007743120193,0.42606788873672485
2,36,0.14578214287757874,1.4728046655654907
2,37,0.6325475573539734,1.1221470832824707
2,38,0.2377408742904663,1.5660405158996582
2,39,0.6642595529556274,0.03636055439710617
2,40,0.8330254554748535,1.2122761011123657
2,41,0.2260449379682541,0.00020890193991363049
2,42,0.22841231524944305,0.6640183925628662
2,43,0.3493756651878357,1.4873402118682861
2,44,0.015007282607257366,0.0001773811090970412
2,45,0.0327509343624115,0.00835447944700718
2,46,0.06000702455639839,0.43202269077301025
2,47,0.03305261954665184,2.5017465304699726e-05
2,48,0.02028961107134819,0.017789777368307114
2,49,0.013195529580116272,0.024573897942900658
2,50,0.36852824687957764,2.0464730262756348
2,51,0.29241716861724854,2.3191874027252197
2,52,1.1095744371414185,1.7836765050888062
2,53,0.870746910572052,1.8098161220550537
2,54,0.054281532764434814,0.8835315704345703
2,55,0.09893231838941574,7.937585178297013e-05
3,0,0.6232709884643555,0.7023958563804626
3,1,0.17573615908622742,1.2335337400436401
3,2,0.3099918067455292,0.740784227848053
3,3,0.2810721695423126,1.0684869289398193
3,4,0.25188761949539185,0.579658031463623
3,5,0.2632715702056885,1.1279817819595337
3,6,0.24260041117668152,0.10523685067892075
3,7,0.467644065618515,0.5395524501800537
3,8,0.1456931084394455,0.9178590774536133
3,9,0.2645067870616913,0.2819020450115204
3,10,0.13056619465351105,0.5843579769134521
3,11,9.847424735198729e-06,8.352521945198532e-06
3,12,0.32065829634666443,0.00021561040193773806
3,13,0.35988396406173706,1.629729098340249e-07
3,14,0.5441420078277588,0.5365478992462158
3,15,0.18382003903388977,0.005246527027338743
3,16,0.19376768171787262,0.00011651514796540141
3,17,0.5237378478050232,1.8731412637862377e-05
3,18,0.8904998898506165,1.5281684398651123
3,19,0.23603443801403046,0.0024186817463487387
3,20,0.3192151188850403,1.563004479976371e-05
3,21,0.3890707492828369,0.2644941508769989
3,22,0.29781514406204224,0.0003219777427148074
3,23,0.18289458751678467,0.45308274030685425
3,24,0.14656448364257812,3.144472771055007e-07
3,25,0.3412756323814392,2.5428593630749674e-07
3,26,0.3894534111022949,0.0003522116458043456
3,27,0.23249326646327972,1.3619940091302851e-06
3,28,0.1512821763753891,2.3502227719518487e-08
3,29,0.49449530243873596,0.12595905363559723
3,30,0.34888988733291626,0.04941242188215256
3,31,0.20557451248168945,3.81463837584306e-06
3,32,0.15402047336101532,1.2303620678721927e-05
3,33,0.1494549661874771,5.293552476359764e-07
3,34,1.045602560043335,0.016957849264144897
3,35,1.1353259086608887,0.5854237079620361
3,36,0.44391152262687683,0.8681858777999878
3,37,0.6601327657699585,0.03312132880091667
3,38,0.630864143371582,0.04957251250743866
3,39,0.19042250514030457,0.0027290168218314648
3,40,0.2038433998823166,2.979694954774459e-06
3,41,0.43258118629455566,1.537433035991853e-06
3,42,0.5422905683517456,0.6518173813819885
3,43,0.5300253033638,1.1800765605585184e-05
3,44,0.1610444337129593,0.0003738512168638408
3,45,0.09100387245416641,0.00032634384115226567
3,46,0.03394140303134918,0.00026455940678715706
3,47,0.2429421991109848,3.063781332457438e-05
3,48,0.11662671715021133,8.78083665156737e-05
3,49,0.4930148422718048,7.914549904342039e-09
3,50,0.890086829662323,0.007369648199528456
3,51,0.5452448129653931,0.058864790946245193
4,0,0.26415199041366577,0.49850374460220337
4,1,0.6122397780418396,0.836026668548584
4,2,0.6372709274291992,0.07343877851963043
4,3,0.32113519310951233,0.6421738862991333
4,4,0.3266408145427704,1.3244491815567017
4,5,0.5981543064117432,0.7710025906562805
4,6,0.5319014191627502,1.6019597053527832
4,7,0.4415130317211151,0.2146938145160675
4,8,0.6282196044921875,1.8251824378967285
4,9,0.9938396215438843,1.3097854852676392
4,10,0.2309737205505371,1.8930878639221191
4,11,1.3784795999526978,2.100780487060547
4,12,0.9322690963745117,1.4298205375671387
4,13,0.19592393934726715,2.141245931852609e-05
4,14,0.43534937500953674,1.621042013168335
4,15,0.3308626413345337,0.6346720457077026
4,16,0.5776979327201843,1.6766505241394043
4,17,0.38698574900627136,1.3747154474258423
4,18,0.8792158365249634,1.1123907825094648e-05
4,19,0.5152685046195984,0.9818740487098694
4,20,0.5339565277099609,0.9458895325660706
4,21,0.6138060688972473,1.8343970775604248
4,22,0.40292078256607056,1.0459587574005127
4,23,0.4159913957118988,1.3803777694702148
4,24,0.5285574197769165,1.4333266019821167
4,25,0.6669024229049683,1.1022462844848633
4,26,0.6415554881095886,1.3820159435272217
4,27,0.4048643112182617,1.153672218322754
4,28,0.4446803033351898,0.6088829040527344
4,29,0.14176017045974731,1.4177017211914062
4,30,0.17206640541553497,0.5611381530761719
4,31,0.32348617911338806,0.0026998049579560757
4,32,0.470254510641098,1.802678108215332
4,33,0.09184017032384872,0.09648076444864273
4,34,0.28242257237434387,0.05924176424741745
4,35,0.13370481133460999,1.639995813369751
4,36,0.3081876337528229,1.1153193712234497
4,37,0.11730387061834335,0.26991137862205505
4,38,0.079735167324543,0.06137587130069733
4,39,0.0001626110461074859,6.275649777620629e-09
